TIME_S,dk_MINERALIZATION_LAYER_1,dk_NITRIFICATION_LAYER_1,dk_DENITRIFICATION_LAYER_1,dk_MINERALIZATION_LAYER_2,dk_NITRIFICATION_LAYER_2,dk_DENITRIFICATION_LAYER_2,dk_MINERALIZATION_LAYER_3,dk_NITRIFICATION_LAYER_3,dk_DENITRIFICATION_LAYER_3,dk_MINERALIZATION_LAYER_4,dk_NITRIFICATION_LAYER_4,dk_DENITRIFICATION_LAYER_4,dk_MINERALIZATION_LAYER_5,dk_NITRIFICATION_LAYER_5,dk_DENITRIFICATION_LAYER_5,dk_MINERALIZATION_LAYER_6,dk_NITRIFICATION_LAYER_6,dk_DENITRIFICATION_LAYER_6,dk_MINERALIZATION_LAYER_7,dk_NITRIFICATION_LAYER_7,dk_DENITRIFICATION_LAYER_7,dk_MINERALIZATION_LAYER_8,dk_NITRIFICATION_LAYER_8,dk_DENITRIFICATION_LAYER_8,d[H2O],d[H],d[O],d[Charge],d[[AMMONIUM]],d[[NITRATE]],d[[NITROUS_GAS]],d[[ORGANIC_N]],d[[THETA_VMC]]
  0.58500002E+04, -0.54141412E-07, -0.41247940E-07, -0.99225000E-07, -0.20999250E-07, -0.13366639E-07, -0.40689000E-08, -0.93217500E-08, -0.10224739E-07, -0.67122000E-08, -0.25690500E-08, -0.14953683E-07, -0.11927250E-08, -0.14735250E-08, -0.73294009E-08, -0.14289750E-08,  0.00000000E+00, -0.92489847E-08, -0.20628000E-08,  0.00000000E+00, -0.12957871E-07, -0.66939750E-08, -0.58956525E-08, -0.15759255E-07, -0.51659100E-07,  0.27556548E-10, -0.55114138E-10, -0.27539986E-10, -0.73735073E-19, -0.30687872E-07, -0.47955163E-07,  0.86521837E-07, -0.94400640E-07, -0.99614760E-18
  0.72000002E+04, -0.54141412E-07, -0.41364209E-07, -0.99225000E-07, -0.20999250E-07, -0.13435467E-07, -0.40689000E-08, -0.93217500E-08, -0.10216596E-07, -0.67122000E-08, -0.25690500E-08, -0.14842003E-07, -0.11927250E-08, -0.14735250E-08, -0.72765946E-08, -0.14289750E-08,  0.00000000E+00, -0.91655805E-08, -0.20628000E-08,  0.00000000E+00, -0.12841021E-07, -0.66939750E-08, -0.58956525E-08, -0.15670309E-07, -0.51659100E-07,  0.25661898E-10, -0.51325278E-10, -0.25639878E-10, -0.46200030E-19, -0.30411139E-07, -0.48231896E-07,  0.86521837E-07, -0.94400640E-07, -0.32744641E-18
  0.89280002E+04, -0.69301008E-07, -0.53093670E-07, -0.12700800E-06, -0.26879040E-07, -0.17284704E-07, -0.52081920E-08, -0.11931840E-07, -0.13066914E-07, -0.85916160E-08, -0.32883840E-08, -0.18856101E-07, -0.15266880E-08, -0.18861120E-08, -0.92470585E-08, -0.18290880E-08,  0.00000000E+00, -0.11626148E-07, -0.26403840E-08,  0.00000000E+00, -0.16288288E-07, -0.85682880E-08, -0.75464352E-08, -0.19945170E-07, -0.66123648E-07,  0.30694221E-10, -0.61389410E-10, -0.30691458E-10, -0.62993268E-19, -0.38575234E-07, -0.62087850E-07,  0.11074795E-06, -0.12083282E-06, -0.39579451E-18
  0.98640003E+04, -0.37538046E-07, -0.28860403E-07, -0.68796000E-07, -0.14559480E-07, -0.94225339E-08, -0.28211040E-08, -0.64630800E-08, -0.70708148E-08, -0.46537920E-08, -0.17812080E-08, -0.10116388E-07, -0.82695600E-09, -0.10216440E-08, -0.49628009E-08, -0.99075600E-09,  0.00000000E+00, -0.62248074E-08, -0.14302080E-08,  0.00000000E+00, -0.87209842E-08, -0.46411560E-08, -0.40876524E-08, -0.10726114E-07, -0.35816976E-07,  0.15789380E-10, -0.31579409E-10, -0.15789548E-10, -0.67242260E-20, -0.20653737E-07, -0.33872101E-07,  0.59988474E-07, -0.65451110E-07, -0.14581565E-17
  0.10800000E+05, -0.37538046E-07, -0.28914658E-07, -0.68796000E-07, -0.14559480E-07, -0.94546514E-08, -0.28211040E-08, -0.64630800E-08, -0.70670151E-08, -0.46537920E-08, -0.17812080E-08, -0.10064275E-07, -0.82695600E-09, -0.10216440E-08, -0.49381598E-08, -0.99075600E-09,  0.00000000E+00, -0.61858884E-08, -0.14302080E-08,  0.00000000E+00, -0.86664585E-08, -0.46411560E-08, -0.40876524E-08, -0.10684608E-07, -0.35816976E-07,  0.15302800E-10, -0.30607817E-10, -0.15303113E-10, -0.53765148E-20, -0.20524604E-07, -0.34001233E-07,  0.59988474E-07, -0.65451110E-07, -0.18313996E-17
  0.12528000E+05, -0.69301008E-07, -0.53480444E-07, -0.12700800E-06, -0.26879040E-07, -0.17513664E-07, -0.52081920E-08, -0.11931840E-07, -0.13039826E-07, -0.85916160E-08, -0.32883840E-08, -0.18484591E-07, -0.15266880E-08, -0.18861120E-08, -0.90713959E-08, -0.18290880E-08,  0.00000000E+00, -0.11348700E-07, -0.26403840E-08,  0.00000000E+00, -0.15899582E-07, -0.85682880E-08, -0.75464352E-08, -0.19649285E-07, -0.66123648E-07,  0.27047200E-10, -0.54095742E-10, -0.27047203E-10, -0.28077192E-19, -0.37654670E-07, -0.63008415E-07,  0.11074795E-06, -0.12083282E-06, -0.57547716E-18
  0.13464000E+05, -0.37538046E-07, -0.29067488E-07, -0.68796000E-07, -0.14559480E-07, -0.95451227E-08, -0.28211040E-08, -0.64630800E-08, -0.70563117E-08, -0.46537920E-08, -0.17812080E-08, -0.99174765E-08, -0.82695600E-09, -0.10216440E-08, -0.48687486E-08, -0.99075600E-09,  0.00000000E+00, -0.60762578E-08, -0.14302080E-08,  0.00000000E+00, -0.85128655E-08, -0.46411560E-08, -0.40876524E-08, -0.10567693E-07, -0.35816976E-07,  0.14075188E-10, -0.28152339E-10, -0.14075530E-10, -0.30738091E-20, -0.20160853E-07, -0.34364984E-07,  0.59988474E-07, -0.65451110E-07, -0.10889206E-17
  0.14400000E+05, -0.37538046E-07, -0.29120448E-07, -0.68796000E-07, -0.14559480E-07, -0.95764737E-08, -0.28211040E-08, -0.64630800E-08, -0.70526027E-08, -0.46537920E-08, -0.17812080E-08, -0.98666066E-08, -0.82695600E-09, -0.10216440E-08, -0.48446955E-08, -0.99075600E-09,  0.00000000E+00, -0.60382675E-08, -0.14302080E-08,  0.00000000E+00, -0.84596409E-08, -0.46411560E-08, -0.40876524E-08, -0.10527178E-07, -0.35816976E-07,  0.13735188E-10, -0.27471403E-10, -0.13735519E-10, -0.25728997E-20, -0.20034802E-07, -0.34491035E-07,  0.59988474E-07, -0.65451110E-07, -0.18482091E-17
  0.16128000E+05, -0.69301008E-07, -0.53857988E-07, -0.12700800E-06, -0.26879040E-07, -0.17737161E-07, -0.52081920E-08, -0.11931840E-07, -0.13013385E-07, -0.85916160E-08, -0.32883840E-08, -0.18121947E-07, -0.15266880E-08, -0.18861120E-08, -0.88999253E-08, -0.18290880E-08,  0.00000000E+00, -0.11077873E-07, -0.26403840E-08,  0.00000000E+00, -0.15520152E-07, -0.85682880E-08, -0.75464352E-08, -0.19360461E-07, -0.66123648E-07,  0.24481271E-10, -0.48963333E-10, -0.24481370E-10, -0.15012469E-19, -0.36756073E-07, -0.63907011E-07,  0.11074795E-06, -0.12083282E-06, -0.39305365E-18
  0.17064000E+05, -0.37538046E-07, -0.29269630E-07, -0.68796000E-07, -0.14559480E-07, -0.96647860E-08, -0.28211040E-08, -0.64630800E-08, -0.70421548E-08, -0.46537920E-08, -0.17812080E-08, -0.97233115E-08, -0.82695600E-09, -0.10216440E-08, -0.47769408E-08, -0.99075600E-09,  0.00000000E+00, -0.59312532E-08, -0.14302080E-08,  0.00000000E+00, -0.83097133E-08, -0.46411560E-08, -0.40876524E-08, -0.10413052E-07, -0.35816976E-07,  0.12835654E-10, -0.25672474E-10, -0.12835789E-10, -0.16219391E-20, -0.19679732E-07, -0.34846106E-07,  0.59988474E-07, -0.65451110E-07, -0.10166000E-17
