TIME_S,dk_MINERALIZATION_LAYER_1,dk_NITRIFICATION_LAYER_1,dk_DENITRIFICATION_LAYER_1,dk_MINERALIZATION_LAYER_2,dk_NITRIFICATION_LAYER_2,dk_DENITRIFICATION_LAYER_2,dk_MINERALIZATION_LAYER_3,dk_NITRIFICATION_LAYER_3,dk_DENITRIFICATION_LAYER_3,dk_MINERALIZATION_LAYER_4,dk_NITRIFICATION_LAYER_4,dk_DENITRIFICATION_LAYER_4,dk_MINERALIZATION_LAYER_5,dk_NITRIFICATION_LAYER_5,dk_DENITRIFICATION_LAYER_5,dk_MINERALIZATION_LAYER_6,dk_NITRIFICATION_LAYER_6,dk_DENITRIFICATION_LAYER_6,dk_MINERALIZATION_LAYER_7,dk_NITRIFICATION_LAYER_7,dk_DENITRIFICATION_LAYER_7,dk_MINERALIZATION_LAYER_8,dk_NITRIFICATION_LAYER_8,dk_DENITRIFICATION_LAYER_8,d[H2O],d[H],d[O],d[Charge],d[[AMMONIUM]],d[[NITRATE]],d[[NITROUS_GAS]],d[[ORGANIC_N]],d[[THETA_VMC]]
  0.58500002E+04, -0.54141412E-07, -0.41247940E-07,  0.00000000E+00, -0.20999250E-07, -0.13366639E-07,  0.00000000E+00, -0.93217500E-08, -0.10224739E-07,  0.00000000E+00, -0.25690500E-08, -0.14953683E-07,  0.00000000E+00, -0.14735250E-08, -0.73294010E-08,  0.00000000E+00,  0.00000000E+00, -0.92489849E-08,  0.00000000E+00,  0.00000000E+00, -0.12957871E-07,  0.00000000E+00, -0.58956525E-08, -0.15759256E-07,  0.00000000E+00,  0.27556174E-10, -0.55113684E-10, -0.27433077E-10, -0.73712804E-19, -0.30687871E-07,  0.12508851E-06,  0.00000000E+00, -0.94400640E-07, -0.13155796E-17
  0.72000002E+04, -0.54141412E-07, -0.41364209E-07,  0.00000000E+00, -0.20999250E-07, -0.13435467E-07,  0.00000000E+00, -0.93217500E-08, -0.10216596E-07,  0.00000000E+00, -0.25690500E-08, -0.14842003E-07,  0.00000000E+00, -0.14735250E-08, -0.72765947E-08,  0.00000000E+00,  0.00000000E+00, -0.91655807E-08,  0.00000000E+00,  0.00000000E+00, -0.12841021E-07,  0.00000000E+00, -0.58956525E-08, -0.15670309E-07,  0.00000000E+00,  0.25661973E-10, -0.51325750E-10, -0.25498775E-10, -0.46201968E-19, -0.30411138E-07,  0.12481178E-06,  0.00000000E+00, -0.94400640E-07, -0.10714520E-17
  0.89280002E+04, -0.69301008E-07, -0.53093670E-07,  0.00000000E+00, -0.26879040E-07, -0.17284704E-07,  0.00000000E+00, -0.11931840E-07, -0.13066914E-07,  0.00000000E+00, -0.32883840E-08, -0.18856102E-07,  0.00000000E+00, -0.18861120E-08, -0.92470586E-08,  0.00000000E+00,  0.00000000E+00, -0.11626149E-07,  0.00000000E+00,  0.00000000E+00, -0.16288288E-07,  0.00000000E+00, -0.75464352E-08, -0.19945170E-07,  0.00000000E+00,  0.30693971E-10, -0.61389184E-10, -0.30672550E-10, -0.62990914E-19, -0.38575228E-07,  0.15940806E-06,  0.00000000E+00, -0.12083282E-06, -0.19392473E-18
  0.98640003E+04, -0.37538046E-07, -0.28860404E-07,  0.00000000E+00, -0.14559480E-07, -0.94225341E-08,  0.00000000E+00, -0.64630800E-08, -0.70708148E-08,  0.00000000E+00, -0.17812080E-08, -0.10116389E-07,  0.00000000E+00, -0.10216440E-08, -0.49628010E-08,  0.00000000E+00,  0.00000000E+00, -0.62248076E-08,  0.00000000E+00,  0.00000000E+00, -0.87209844E-08,  0.00000000E+00, -0.40876524E-08, -0.10726114E-07,  0.00000000E+00,  0.15789599E-10, -0.31579931E-10, -0.15789458E-10, -0.67222639E-20, -0.20653737E-07,  0.86104848E-07,  0.00000000E+00, -0.65451110E-07, -0.13447229E-17
  0.10800000E+05, -0.37538046E-07, -0.28914659E-07,  0.00000000E+00, -0.14559480E-07, -0.94546515E-08,  0.00000000E+00, -0.64630800E-08, -0.70670151E-08,  0.00000000E+00, -0.17812080E-08, -0.10064275E-07,  0.00000000E+00, -0.10216440E-08, -0.49381599E-08,  0.00000000E+00,  0.00000000E+00, -0.61858885E-08,  0.00000000E+00,  0.00000000E+00, -0.86664586E-08,  0.00000000E+00, -0.40876524E-08, -0.10684609E-07,  0.00000000E+00,  0.15303185E-10, -0.30607986E-10, -0.15303418E-10, -0.53603013E-20, -0.20524605E-07,  0.85975716E-07,  0.00000000E+00, -0.65451110E-07, -0.26709538E-18
  0.12528000E+05, -0.69301008E-07, -0.53480444E-07,  0.00000000E+00, -0.26879040E-07, -0.17513664E-07,  0.00000000E+00, -0.11931840E-07, -0.13039826E-07,  0.00000000E+00, -0.32883840E-08, -0.18484592E-07,  0.00000000E+00, -0.18861120E-08, -0.90713960E-08,  0.00000000E+00,  0.00000000E+00, -0.11348701E-07,  0.00000000E+00,  0.00000000E+00, -0.15899582E-07,  0.00000000E+00, -0.75464352E-08, -0.19649285E-07,  0.00000000E+00,  0.27047526E-10, -0.54095960E-10, -0.27047524E-10, -0.28078817E-19, -0.37654664E-07,  0.15848749E-06,  0.00000000E+00, -0.12083282E-06, -0.39900374E-18
  0.13464000E+05, -0.37538046E-07, -0.29067488E-07,  0.00000000E+00, -0.14559480E-07, -0.95451228E-08,  0.00000000E+00, -0.64630800E-08, -0.70563118E-08,  0.00000000E+00, -0.17812080E-08, -0.99174768E-08,  0.00000000E+00, -0.10216440E-08, -0.48687487E-08,  0.00000000E+00,  0.00000000E+00, -0.60762579E-08,  0.00000000E+00,  0.00000000E+00, -0.85128657E-08,  0.00000000E+00, -0.40876524E-08, -0.10567693E-07,  0.00000000E+00,  0.14075431E-10, -0.28152007E-10, -0.14075666E-10, -0.30640472E-20, -0.20160854E-07,  0.85611965E-07,  0.00000000E+00, -0.65451110E-07, -0.98660662E-18
  0.14400000E+05, -0.37538046E-07, -0.29120448E-07,  0.00000000E+00, -0.14559480E-07, -0.95764738E-08,  0.00000000E+00, -0.64630800E-08, -0.70526027E-08,  0.00000000E+00, -0.17812080E-08, -0.98666068E-08,  0.00000000E+00, -0.10216440E-08, -0.48446956E-08,  0.00000000E+00,  0.00000000E+00, -0.60382677E-08,  0.00000000E+00,  0.00000000E+00, -0.84596411E-08,  0.00000000E+00, -0.40876524E-08, -0.10527178E-07,  0.00000000E+00,  0.13735573E-10, -0.27471497E-10, -0.13735749E-10, -0.25724955E-20, -0.20034803E-07,  0.85485914E-07,  0.00000000E+00, -0.65451110E-07, -0.56074937E-18
  0.16128000E+05, -0.69301008E-07, -0.53857989E-07,  0.00000000E+00, -0.26879040E-07, -0.17737161E-07,  0.00000000E+00, -0.11931840E-07, -0.13013385E-07,  0.00000000E+00, -0.32883840E-08, -0.18121947E-07,  0.00000000E+00, -0.18861120E-08, -0.88999255E-08,  0.00000000E+00,  0.00000000E+00, -0.11077874E-07,  0.00000000E+00,  0.00000000E+00, -0.15520153E-07,  0.00000000E+00, -0.75464352E-08, -0.19360461E-07,  0.00000000E+00,  0.24481522E-10, -0.48963292E-10, -0.24481359E-10, -0.15014139E-19, -0.36756068E-07,  0.15758890E-06,  0.00000000E+00, -0.12083282E-06, -0.13669101E-17
  0.17064000E+05, -0.37538046E-07, -0.29269631E-07,  0.00000000E+00, -0.14559480E-07, -0.96647861E-08,  0.00000000E+00, -0.64630800E-08, -0.70421548E-08,  0.00000000E+00, -0.17812080E-08, -0.97233118E-08,  0.00000000E+00, -0.10216440E-08, -0.47769409E-08,  0.00000000E+00,  0.00000000E+00, -0.59312533E-08,  0.00000000E+00,  0.00000000E+00, -0.83097135E-08,  0.00000000E+00, -0.40876524E-08, -0.10413052E-07,  0.00000000E+00,  0.12835869E-10, -0.25672489E-10, -0.12836020E-10, -0.16257457E-20, -0.19679733E-07,  0.85130843E-07,  0.00000000E+00, -0.65451110E-07, -0.11479012E-17
