TIME_S,dk_MINERALIZATION_LAYER_1,dk_NITRIFICATION_LAYER_1,dk_DENITRIFICATION_LAYER_1,dk_MINERALIZATION_LAYER_2,dk_NITRIFICATION_LAYER_2,dk_DENITRIFICATION_LAYER_2,dk_MINERALIZATION_LAYER_3,dk_NITRIFICATION_LAYER_3,dk_DENITRIFICATION_LAYER_3,dk_MINERALIZATION_LAYER_4,dk_NITRIFICATION_LAYER_4,dk_DENITRIFICATION_LAYER_4,dk_MINERALIZATION_LAYER_5,dk_NITRIFICATION_LAYER_5,dk_DENITRIFICATION_LAYER_5,dk_MINERALIZATION_LAYER_6,dk_NITRIFICATION_LAYER_6,dk_DENITRIFICATION_LAYER_6,dk_MINERALIZATION_LAYER_7,dk_NITRIFICATION_LAYER_7,dk_DENITRIFICATION_LAYER_7,dk_MINERALIZATION_LAYER_8,dk_NITRIFICATION_LAYER_8,dk_DENITRIFICATION_LAYER_8,d[H2O],d[H],d[O],d[Charge],d[[AMMONIUM]],d[[NITRATE]],d[[NITROUS_GAS]],d[[ORGANIC_N]],d[[THETA_VMC]]
  0.98640003E+04, -0.23488136E-07, -0.28044454E-07, -0.67508587E-07, -0.15281960E-07, -0.94645453E-08, -0.29884124E-08, -0.49840127E-08, -0.69849206E-08, -0.46642038E-08, -0.11025135E-08, -0.10076970E-07, -0.83568876E-09, -0.43701248E-09, -0.49288450E-08, -0.99869071E-09,  0.00000000E+00, -0.62248074E-08, -0.15992925E-08,  0.00000000E+00, -0.87209842E-08, -0.45409542E-08, -0.62381858E-09, -0.10524929E-07, -0.36850042E-07,  0.15789320E-10, -0.31579352E-10, -0.15789493E-10, -0.67208387E-20, -0.39053002E-07, -0.35015415E-07,  0.59992936E-07, -0.45917454E-07, -0.14730405E-17
  0.10800000E+05, -0.23487837E-07, -0.28015967E-07, -0.67377941E-07, -0.15281801E-07, -0.95009172E-08, -0.29967635E-08, -0.49839724E-08, -0.69724104E-08, -0.46661916E-08, -0.11025096E-08, -0.10020859E-07, -0.83606739E-09, -0.43701119E-09, -0.49007609E-08, -0.99997126E-09,  0.00000000E+00, -0.61858884E-08, -0.16051945E-08,  0.00000000E+00, -0.86664585E-08, -0.45313351E-08, -0.62381738E-09, -0.10463025E-07, -0.36770387E-07,  0.15302816E-10, -0.30607864E-10, -0.15303057E-10, -0.53776333E-20, -0.38809339E-07, -0.35057563E-07,  0.59891925E-07, -0.45916948E-07, -0.16909217E-17
  0.12528000E+05, -0.43361606E-07, -0.51669519E-07, -0.12413660E-06, -0.28212262E-07, -0.17606881E-07, -0.55500892E-08, -0.92011055E-08, -0.12849191E-07, -0.86189189E-08, -0.20353953E-08, -0.18397107E-07, -0.15435987E-08, -0.80678752E-09, -0.89960353E-08, -0.18498030E-08,  0.00000000E+00, -0.11348700E-07, -0.29804534E-08,  0.00000000E+00, -0.15899582E-07, -0.83336261E-08, -0.11516606E-08, -0.19202784E-07, -0.67732873E-07,  0.27047164E-10, -0.54095846E-10, -0.27047208E-10, -0.28073223E-19, -0.71200983E-07, -0.64776163E-07,  0.11037298E-06, -0.84768817E-07, -0.68344635E-18
  0.13464000E+05, -0.23486983E-07, -0.27935713E-07, -0.67045547E-07, -0.15281348E-07, -0.96033682E-08, -0.30136047E-08, -0.49838578E-08, -0.69371695E-08, -0.46717392E-08, -0.11024987E-08, -0.98628022E-08, -0.83721175E-09, -0.43700753E-09, -0.48216512E-08, -0.10037480E-08,  0.00000000E+00, -0.60762578E-08, -0.16200261E-08,  0.00000000E+00, -0.85128655E-08, -0.45074173E-08, -0.62381397E-09, -0.10288648E-07, -0.36540736E-07,  0.14075130E-10, -0.28152234E-10, -0.14075502E-10, -0.30773509E-20, -0.38122967E-07, -0.35201555E-07,  0.59620015E-07, -0.45915509E-07, -0.12588194E-17
  0.14400000E+05, -0.23486683E-07, -0.27907899E-07, -0.66941975E-07, -0.15281189E-07, -0.96388683E-08, -0.30172214E-08, -0.49838175E-08, -0.69249569E-08, -0.46736522E-08, -0.11024948E-08, -0.98080306E-08, -0.83763405E-09, -0.43700624E-09, -0.47942374E-08, -0.10051035E-08,  0.00000000E+00, -0.60382675E-08, -0.16246564E-08,  0.00000000E+00, -0.84596409E-08, -0.45000399E-08, -0.62381277E-09, -0.10228221E-07, -0.36459007E-07,  0.13735191E-10, -0.27471486E-10, -0.13735604E-10, -0.25697719E-20, -0.37885118E-07, -0.35259168E-07,  0.59529645E-07, -0.45915003E-07, -0.19926595E-17
  0.16128000E+05, -0.43359477E-07, -0.51471242E-07, -0.12338666E-06, -0.28211131E-07, -0.17859961E-07, -0.55781157E-08, -0.92008195E-08, -0.12762130E-07, -0.86324913E-08, -0.20353679E-08, -0.18006649E-07, -0.15466733E-08, -0.80677837E-09, -0.88006059E-08, -0.18594443E-08,  0.00000000E+00, -0.11077873E-07, -0.30128178E-08,  0.00000000E+00, -0.15520152E-07, -0.82824783E-08, -0.11516521E-08, -0.18772010E-07, -0.67150342E-07,  0.24481251E-10, -0.48963265E-10, -0.24481352E-10, -0.15014801E-19, -0.69505397E-07, -0.65178396E-07,  0.10972451E-06, -0.84765226E-07, -0.18219800E-18
  0.17064000E+05, -0.23485830E-07, -0.27829539E-07, -0.66640931E-07, -0.15280735E-07, -0.97388636E-08, -0.30287912E-08, -0.49837028E-08, -0.68905542E-08, -0.46789866E-08, -0.11024839E-08, -0.96537451E-08, -0.83890707E-09, -0.43700257E-09, -0.47170155E-08, -0.10089709E-08,  0.00000000E+00, -0.59312532E-08, -0.16366491E-08,  0.00000000E+00, -0.83097133E-08, -0.44812933E-08, -0.62380935E-09, -0.10058005E-07, -0.36223315E-07,  0.12835698E-10, -0.25672474E-10, -0.12835862E-10, -0.16269275E-20, -0.37215125E-07, -0.35409155E-07,  0.59268922E-07, -0.45913564E-07, -0.77042539E-18
  0.18000001E+05, -0.23485530E-07, -0.27802381E-07, -0.66527737E-07, -0.15280576E-07, -0.97735127E-08, -0.30342740E-08, -0.49836626E-08, -0.68786321E-08, -0.46808236E-08, -0.11024800E-08, -0.96002805E-08, -0.83937576E-09, -0.43700129E-09, -0.46902558E-08, -0.10103211E-08,  0.00000000E+00, -0.58941695E-08, -0.16405017E-08,  0.00000000E+00, -0.82577589E-08, -0.44753518E-08, -0.62380815E-09, -0.99990201E-08, -0.36139834E-07,  0.12582842E-10, -0.25166942E-10, -0.12582995E-10, -0.13923587E-20, -0.36982953E-07, -0.35452207E-07,  0.59174109E-07, -0.45913058E-07, -0.53285501E-18
  0.19728001E+05, -0.43357348E-07, -0.51277645E-07, -0.12257138E-06, -0.28210000E-07, -0.18106974E-07, -0.56188789E-08, -0.92005334E-08, -0.12677140E-07, -0.86455193E-08, -0.20353406E-08, -0.17625508E-07, -0.15500753E-08, -0.80676923E-09, -0.86098401E-08, -0.18690149E-08,  0.00000000E+00, -0.10813510E-07, -0.30398453E-08,  0.00000000E+00, -0.15149777E-07, -0.82410454E-08, -0.11516436E-08, -0.18351515E-07, -0.66557007E-07,  0.22551260E-10, -0.45102940E-10, -0.22551137E-10, -0.89746226E-20, -0.67850275E-07, -0.65480857E-07,  0.10904638E-06, -0.84761635E-07, -0.48329396E-18
  0.20664001E+05, -0.23484676E-07, -0.27725872E-07, -0.66186553E-07, -0.15280123E-07, -0.98711109E-08, -0.30535059E-08, -0.49835479E-08, -0.68450477E-08, -0.46859357E-08, -0.11024690E-08, -0.94496765E-08, -0.84078030E-09, -0.43699762E-09, -0.46148767E-08, -0.10141020E-08,  0.00000000E+00, -0.57897090E-08, -0.16506922E-08,  0.00000000E+00, -0.81114092E-08, -0.44597694E-08, -0.62380473E-09, -0.98328660E-08, -0.35901711E-07,  0.11883540E-10, -0.23768406E-10, -0.11883741E-10, -0.93637070E-21, -0.36328949E-07, -0.35552482E-07,  0.58896525E-07, -0.45911619E-07, -0.45789760E-18
